u,g,r,i,z,redshift
19.38921,17.54233,16.666629999999998,16.17884,15.81613,0.07389854750000005
19.73282,18.19951,17.274729999999998,16.8008,16.45704,0.13468068199999966
20.24951,18.45148,17.53714,17.11854,16.807270000000003,0.09847867799999997
20.69504,18.72737,17.69453,17.22781,16.821579999999997,0.13372368600000006
19.21247,18.0579,17.4274,17.0599,16.84374,0.10661720309999988
19.10467,17.200229999999998,16.22186,15.813070000000002,15.47886,0.08290299650000003
20.23113,18.24438,17.270129999999998,16.82345,16.48525,0.10942600700000005
19.13215,17.18261,16.08934,15.63664,15.29217,0.11008862849999987
19.26184,17.837139999999998,17.04448,16.63,16.30685,0.10708301949999999
17.60112,15.96491,15.21676,14.81394,14.504920000000002,0.05039960000000001
21.61539,18.63251,17.57253,17.19344,16.6822,0.15303438450000006
20.4831,18.40095,17.402479999999997,16.96787,16.579279999999997,0.11524832299999975
18.12814,16.82386,16.239810000000002,15.92712,15.71191,0.04830880899999999
20.22004,17.98894,16.83191,16.35079,15.98099,0.148542911
18.72656,17.71161,17.312079999999998,16.90954,16.717589999999998,0.07950982300000002
20.20866,18.455070000000003,17.588829999999998,17.1657,16.825670000000002,0.09096007499999996
18.13133,16.66191,15.8558,15.45179,15.17294,0.04888763335000001
19.67124,17.744870000000002,16.81719,16.38809,15.999020000000002,0.08983687650000005
18.29859,16.84864,16.13811,15.74096,15.49594,0.07876290449999993
20.64154,18.76593,17.73578,17.30084,16.900879999999997,0.1317111375
19.08208,17.154729999999997,16.19555,15.77251,15.38393,0.08504724299999994
18.2288,16.21622,15.37125,14.92138,14.64013,0.06002881949999999
19.23742,18.011129999999998,17.3642,17.04022,16.77838,0.10452932479999996
21.22445,19.38367,17.88881,17.29564,16.90961,0.23768597800000005
19.62646,17.61381,16.677970000000002,16.23292,15.88153,0.09939711149999994
20.15331,18.40655,17.3315,16.86148,16.470879999999998,0.15548007800000016
20.78348,18.4699,17.53783,17.0954,16.75538,0.11523754399999996
20.17275,18.11537,17.123829999999998,16.60835,16.238310000000002,0.11816025249999992
21.3475,19.09864,17.664089999999998,17.11151,16.749229999999997,0.23421642999999975
19.83477,18.4947,17.8593,17.42634,17.206879999999998,0.09157530649999997
20.36696,18.35656,17.323729999999998,16.781979999999997,16.325129999999998,0.14207118900000007
19.44364,17.95182,17.07378,16.64507,16.299329999999998,0.11851406250000013
19.18405,17.8499,17.14347,16.74406,16.45508,0.10039442
19.47017,18.04218,17.27636,16.8149,16.51276,0.115469965
18.54651,16.997529999999998,16.27993,15.82317,15.484470000000002,0.065198963
20.38617,18.50086,17.57922,17.117079999999998,16.74595,0.1076497815000001
19.78613,18.47175,17.88079,17.54472,17.3,0.09157363349999997
18.40531,16.775560000000002,15.927029999999998,15.45534,15.14688,0.069475336
18.33653,16.95434,16.41395,16.11969,16.04341,0.04653530739999998
19.80088,18.61055,17.86669,17.49586,17.21856,0.15226365449999993
21.15633,19.09205,17.61893,17.06796,16.69206,0.23084466499999987
18.75274,17.107770000000002,16.23997,15.74715,15.40306,0.09094264949999996
20.00411,18.25054,17.06931,16.58034,16.24493,0.1663376035000001
19.45155,17.84165,17.0104,16.53152,16.182679999999998,0.10464018350000011
21.02952,18.54383,17.53201,17.031010000000002,16.71414,0.13931395500000002
19.98962,18.23887,17.38469,16.921770000000002,16.61797,0.09791544550000002
16.14821,14.73162,14.03915,13.64454,13.35743,0.027032023999999953
20.05365,18.76928,17.81855,17.34405,17.02166,0.17944129799999992
20.4445,18.81604,17.56975,17.085720000000002,16.7152,0.1980518144999999
19.79795,17.63674,16.84161,16.395870000000002,15.99151,0.07612497449999996
19.96164,18.05044,17.11124,16.58209,16.1591,0.11142020949999987
20.06374,18.64052,17.413339999999998,16.87419,16.47233,0.1792993065
19.9316,18.55849,17.74009,17.29672,16.97792,0.13281303950000006
17.32599,15.29915,14.30365,13.83097,13.47261,0.045762941999999925
20.65943,18.72459,17.7465,17.32474,16.958820000000003,0.11053533549999997
19.94506,18.11416,16.97038,16.40474,15.97829,0.15692104150000002
20.63491,19.32363,18.06351,17.49275,17.10492,0.11833785099999995
20.21834,18.66197,17.537129999999998,16.99674,16.632279999999998,0.18038865549999986
20.39535,19.0323,17.89227,17.34058,17.04649,0.17747794149999988
20.71988,18.62913,17.4836,17.01435,16.61664,0.15495042150000007
18.49733,17.34534,16.98665,16.75275,16.70508,0.042469628499999995
18.64693,17.28504,16.66968,16.28589,16.03115,0.07979328950000004
23.1965,21.39062,20.04524,20.23146,19.06655,0.09967852550000009
20.84892,18.76967,17.75477,17.3158,16.978289999999998,0.12806821349999994
18.63983,17.71,17.26501,16.96116,16.81841,0.06565359499999988
18.87643,17.14368,16.26578,15.85624,15.558279999999998,0.07565006300000002
19.0224,17.11465,16.205170000000003,15.80875,15.4927,0.06638276250000007
20.30431,18.52069,17.58064,17.1321,16.86557,0.1142540459999999
20.40558,18.68103,17.85511,17.52175,17.237370000000002,0.09281921649999995
17.9757,16.24251,15.45194,15.05948,14.76495,0.05630271399999983
18.03094,16.823970000000003,16.34461,16.09453,15.91385,0.044620234000000016
18.54556,17.00999,16.29244,15.911220000000002,15.604220000000002,0.0654486535
19.56141,17.706889999999998,16.89859,16.5445,16.27681,0.07228756599999991
19.79897,18.1448,17.276970000000002,16.773629999999997,16.42785,0.11463128249999993
16.959570000000003,15.59975,15.16637,14.95283,14.898320000000002,0.03534271864999998
20.81922,18.9328,17.490170000000003,16.93644,16.63351,0.22283595999999986
20.08367,18.30402,17.4339,17.056079999999998,16.76944,0.10652840199999992
19.28784,18.32993,17.84328,17.48551,17.371660000000002,0.09655433999999995
17.521060000000002,15.94459,15.26176,14.897470000000002,14.69496,0.04545712799999992
18.62055,17.29226,16.64891,16.28254,16.05217,0.08219165399999996
19.44486,17.9895,17.57068,17.30575,17.224239999999998,0.06288207249999991
19.56524,18.43922,17.57266,17.12611,16.87908,0.17884334550000008
18.889470000000003,17.493170000000003,16.92829,16.64268,16.46235,0.059494017500000024
17.74994,16.69774,16.422710000000002,16.2733,16.17761,0.03188461199999995
19.45495,17.6763,16.822110000000002,16.4195,16.09468,0.07547727799999987
18.59995,16.71636,15.79391,15.33639,14.99861,0.08304490249999995
20.30728,18.61515,17.58517,17.1291,16.84978,0.14229191399999985
19.58812,18.41308,17.6232,17.17847,16.815179999999998,0.157317548
19.81025,18.51438,17.48198,16.93831,16.56666,0.16980462299999996
19.03199,17.83894,17.259420000000002,16.97039,16.7194,0.08229097900000014
20.87846,18.92733,17.60889,17.099339999999998,16.6757,0.1957714649999999
